reply_comment_total,digg_count,date,AF,video,comment_id
0,0,2025-04-01,虽然说着捧杀的话，但是言语间充满对中国的热爱和赞美！即是流量亦是真诚夸赞 比心 比心 比心 谢谢你，中国人欢迎一切美好的人和事！,video27,comment45996
3,335,2025-04-04,伏拉夫大家忘了吗 小学的时候他特别火 当时每次看他视频都觉得夸张 捂脸,video27,comment35787
0,0,2025-03-30,黑脸 黑脸 黑脸,video4,comment2477
0,0,2025-03-28,这人不行。不能收。,video14,comment11557
0,0,2025-04-08,什么情况,video41,comment55355
0,0,2025-04-02,他为什么不沾香油碟 捂脸 捂脸 捂脸,video24,comment31480
1,43,2025-03-31,知道国外地铁为啥都爱看书了吧，之前说有文化，现在只想说有信号，谁还看书啊,video19,comment26461
0,0,2025-03-29,还挺会,video11,comment8401
0,0,2025-04-01,辣的能打嗝，说明是真的辣 捂脸,video25,comment34996
0,0,2025-04-13,我以为是我可能立马连一个WiFi。原来不是我的毛病,video42,comment55497
0,1,2025-04-03,外国人只会哦买噶不会别的词了,video31,comment47939
0,0,2025-04-04,如果他明天来深圳 我也去堵一下 看,video35,comment50172
1,1,2025-04-03,不是，他是谁，很有名吗？做过什么，为啥这么火,video33,comment48726
0,0,2025-04-06,滚蛋,video11,comment7727
0,0,2025-03-30,玩遍中国，需要多少天 捂脸,video17,comment13900
0,0,2025-04-04,香港基本上都会英语,video34,comment49790
0,0,2025-04-07,劳资听不懂,video34,comment49445
0,2,2025-04-03,对，很多外方网红对外就是捧杀中国，国人警惕起来吧！,video27,comment37990
0,0,2025-03-30,去过一次,video18,comment25854
0,0,2025-03-26,坑外地人5倍价，坑外国人十倍 尬笑,video3,comment2056
0,2,2025-04-06,你说的很深刻 赞,video27,comment37720
0,0,2025-03-25,捂脸 捂脸 捂脸 捂脸 捂脸,video2,comment932
0,1,2025-04-21,他妈有群网友是真有天赋。们说你们浪费这么好的天赋干嘛？这不纯属浪费资源吗？ 泪奔,video39,comment51581
0,0,2025-04-01,对我来说中国就是最好的，不管别人怎么说,video27,comment44990
0,2,2025-04-04,捏那么久水果都捏满汗了 抠鼻,video33,comment48892
0,0,2025-03-30,让他上下血汗工厂，别在一声声夸赞中迷失了 尬笑,video17,comment14099
2,0,2025-04-04,捂脸,video5,comment2594
0,0,2025-03-27,150过分了！不能欺负老外啊。,video3,comment1995
0,0,2025-03-31,这小子是会整活儿,video24,comment33213
0,2,2025-04-03,果然重庆更吸引老外 看,video31,comment47869
4,3,2025-03-27,背景音乐是什么？,video3,comment1299
0,0,2025-04-02,我是武夷山的，救命，别搞！,video28,comment46751
2,13,2025-03-25,如果营养快线不健康那市场上90 不能喝,video5,comment2621
0,0,2025-04-08,熊猫发卡掉了,video24,comment31033
0,0,2025-03-28,哈哈 讲话很好听 尬笑 捂脸,video11,comment8667
0,0,2025-03-26,不对噢！不是咱的,video8,comment5219
3,6,2025-03-29,说实话 因为在国内热度真不高 除了爱冲浪的00后90后 知道他的人真不多,video12,comment9132
0,2,2025-04-04,真是感受到人的潜力和能量是无穷大的 捂脸,video33,comment48875
0,1,2025-03-31,还不回去啊？在中国玩疯了。 舔屏 舔屏 舔屏他老家16亿份子哭晕在厕所？ 吐舌 吐舌 吐舌 吐舌打水漂打水漂,video20,comment28684
0,0,2025-03-28,你这头发多久没移了 裂开,video11,comment8716
0,0,2025-03-28,一圈网红npc,video13,comment10875
0,0,2025-04-12,山东欢迎你 比心,video18,comment18947
7,9,2025-03-30,你敢信他05的 宕机,video17,comment12705
0,0,2025-03-28,泪奔精神状态都真好啊,video10,comment6446
0,0,2025-04-02,平常心最重要，不要觉得一个外国人来就过分热情怕掉中国脸，我只是个体代表不了国家，外国人表现不好他们怎么不觉得对不起国家呢,video27,comment43478
0,0,2025-04-11,看视频我腿软了，是什么问题,video18,comment19095
0,0,2025-03-31,看着跟个痴呆差不多,video24,comment32500
1,0,2025-03-30,我能从他的眼神里。看到孤单。真正懂他的人。很少。,video17,comment14395
0,9,2025-04-01,中国的保镖想拦住粉丝，黑保镖哥拦住了中国保镖，黑保镖哥 你别太离谱 笑哭,video21,comment28826
0,0,2025-04-08,长沙可以去橘子洲啥的，别去什么文友就行 捂脸,video41,comment55179
0,0,2025-04-04,绿帽子 绿帽子 绿帽子,video36,comment50636
0,0,2025-04-09,版权必须拿下 大金牙,video39,comment52202
0,4,2025-03-28,爱不过三年？,video15,comment11678
0,0,2025-03-31,成都是个神奇的地方 捂脸,video20,comment28740
0,0,2025-03-28,你是回族的么 白眼,video11,comment8718
0,0,2025-04-08,这首歌好听,video28,comment46252
0,0,2025-04-09,机器人斧头帮舞蹈事故了,video40,comment52986
0,2,2025-04-02,中国版的特朗普 捂脸,video30,comment47478
0,0,2025-04-04,中国制造 赞 赞 赞,video27,comment41760
0,0,2025-04-04,超爱看甲亢哥,video18,comment21387
0,10,2025-04-08,人都是这样的，越是缺什么，越想表现出来什么，没有文没有友。,video41,comment53542
0,0,2025-03-27,你是中国人那我是啥 尬笑 尬笑 尬笑,video11,comment8941
0,0,2025-04-09,搞死芒果 捂脸,video41,comment54532
0,0,2025-03-29,搞二锅头，,video5,comment2954
0,0,2025-04-12,不知道儿豁是谁教他的 捂脸,video39,comment51989
0,1,2025-04-04,好像说唱 捂脸 看,video27,comment38992
0,0,2025-03-26,什么咱？,video8,comment5255
0,0,2025-03-28,哈哈哈哈哈哈哈哈哈哈哈哈笑死我,video15,comment11757
0,0,2025-04-14,他最后是不是唱了妈妻？ 舔屏,video39,comment51965
1,1,2025-03-30,科比饮料,video10,comment6229
0,5,2025-03-27,所有人都很亢奋,video6,comment3278
0,0,2025-03-31,保镖：有可能上一秒还在炫，下一秒翘脚，所以此时不炫，又待何时 阴险,video24,comment32945
0,2,2025-03-31,去到云南，更神 泪奔,video20,comment28571
0,0,2025-04-01,喔麦嘎 捂脸,video18,comment22434
0,2,2025-04-01,吃的原汤，哈哈哈，没蘸油碟 捂脸,video24,comment30153
0,0,2025-04-05,你说的好有道理，粉了,video27,comment41346
0,1,2025-03-26,高铁这些地方，原本就是运营商 重点关注项目哈,video9,comment5922
0,2,2025-04-02,肯德基是奢侈品吗？那玩意我在里面工作过，那东西能吃吗？ 捂脸,video27,comment38219
5,192,2025-03-31,外国人想 来趟中国拍拍视频就好 捂脸,video19,comment26308
0,0,2025-04-02,很理性,video27,comment43535
0,1,2025-04-01,特会演 看人家保镖吃了咋没事,video25,comment34481
0,0,2025-03-28,哈哈哈哈哈哈哈哈哈,video15,comment11709
0,0,2025-03-26,这就是个社牛,video6,comment3428
